X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM
166740.5447,1083378.581,0,46654015.68,0,129,0,0,0,0,0,0,0
166740.5447,1090208.956,0,46654023.59,0,130,0,0,0,0,0,0,0
166740.5447,1097039.331,0,46654021.61,0,131,0,0,0,0,0,0,0
166740.5447,1103869.706,0,46654021.61,0,132,0,0,0,0,0,0,0
166740.5447,1110700.081,0,46654021.61,0,133,0,0,0,0,0,0,0
166740.5447,1117530.456,0,49069333.42,0,134,0,0,0,0,0,0,0
173570.9196,939940.7091,0,27066758.06,0,135,0,0,0,0,0,0,0
173570.9196,946771.0839,0,46654021.61,0,136,0,0,0,1,0,0,0
173570.9196,953601.4588,0,46654021.61,0,137,0,0,0,0,0,0,0
173570.9196,960431.8337,0,46654021.61,0,138,0,0,0,0,0,0,0
173570.9196,967262.2086,0,46654021.61,0,139,0,0,0,0,0,0,0
173570.9196,974092.5834,0,46654019.63,0,140,0,0,0,0,0,0,0
173570.9196,980922.9583,0,46654021.61,0,141,0,0,0,0,0,0,0
173570.9196,987753.3332,0,46654021.61,0,142,0,0,0,0,0,0,0
173570.9196,994583.7081,0,46654021.61,0,143,0,3,2,0,0,0,0
173570.9196,1001414.083,0,46654021.61,0,144,0,0,0,0,0,0,0
173570.9196,1008244.458,0,46654021.61,0,145,0,0,0,0,0,0,0
173570.9196,1015074.833,0,46654023.59,1,146,0,0,0,0,0,0,0
173570.9196,1021905.208,0,46654017.66,0,147,0,0,0,0,0,0,0
173570.9196,1028735.582,0,46654019.63,0,148,0,0,0,0,0,0,0
173570.9196,1035565.957,0,46654021.61,0,149,0,0,0,0,0,0,0
