X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM,Gridall,GridT1,GridPA
130027.2797,980069.1615,0,2915876.351,0,233,0,0,0,0,0,0,0,0,0,0
130027.2797,981776.7552,0,2915876.351,0,234,0,0,0,0,0,0,0,0,0,0
130027.2797,983484.3489,0,2915876.351,0,235,0,0,0,0,0,0,0,0,0,0
130027.2797,985191.9426,0,2915876.351,0,236,0,0,0,0,0,0,0,0,0,0
130027.2797,986899.5363,0,2915876.351,0,237,0,0,0,0,0,0,0,0,0,0
130027.2797,988607.13,0,2915876.351,0,238,0,0,0,0,0,0,0,0,0,0
130027.2797,990314.7238,0,2915876.351,0,239,0,0,0,0,0,0,0,0,0,0
130027.2797,992022.3175,0,2915876.351,0,240,0,0,0,0,0,0,0,0,0,0
130027.2797,993729.9112,0,2915876.351,0,241,0,0,0,0,0,0,0,0,0,0
130027.2797,995437.5049,0,2915876.351,0,242,0,0,0,0,0,0,0,0,0,0
130027.2797,997145.0986,0,2915876.351,0,243,0,0,0,0,0,0,0,0,0,0
130027.2797,998852.6924,0,2915876.351,1,244,0,0,0,0,0,0,0,1,0,1
130027.2797,1000560.286,0,2915876.351,0,245,0,0,0,0,0,0,0,0,0,0
130027.2797,1002267.88,0,2915876.845,0,246,0,0,0,0,0,0,0,0,0,0
130027.2797,1003975.474,0,2915875.857,0,247,0,0,0,0,0,0,0,0,0,0
130027.2797,1005683.067,0,2915875.857,0,248,0,0,0,0,0,0,0,0,0,0
130027.2797,1007390.661,0,2915876.845,0,249,0,0,0,0,0,0,0,0,0,0
130027.2797,1009098.255,0,2915875.857,0,250,0,0,0,0,0,0,0,0,0,0
130027.2797,1010805.848,0,2915876.351,0,251,0,0,0,0,0,0,0,0,0,0
130027.2797,1012513.442,0,2915876.845,0,252,0,0,0,0,0,0,0,0,0,0
130027.2797,1014221.036,0,2915876.845,0,253,0,0,0,0,0,0,0,0,0,0
130027.2797,1015928.63,0,2915875.857,0,254,0,0,0,0,0,0,0,0,0,0
130027.2797,1017636.223,0,2915875.857,0,255,0,0,0,0,0,0,0,0,0,0
130027.2797,1019343.817,0,2915876.845,0,256,0,0,0,0,0,0,0,0,0,0
130027.2797,1021051.411,0,2915875.857,0,257,0,0,0,0,0,0,0,0,0,0
130027.2797,1022759.004,0,2915875.857,0,258,0,0,0,0,0,0,0,0,0,0
130027.2797,1024466.598,0,2915876.845,0,259,0,0,0,0,0,0,0,0,0,0
130027.2797,1026174.192,0,3550128.585,0,260,0,0,0,0,0,0,0,0,0,0
130027.2797,1027881.786,0,3607598.862,2,261,0,0,2,0,0,0,3,1,1,1
130027.2797,1029589.379,0,2915876.351,0,262,0,0,0,0,0,0,0,0,0,0
130027.2797,1031296.973,0,2915876.351,0,263,0,0,0,0,0,0,0,0,0,0
130027.2797,1033004.567,0,3291592.341,1,264,0,0,0,0,0,0,1,1,1,1
130027.2797,1034712.16,0,3363087.694,0,265,0,0,0,0,0,0,0,0,0,0
130027.2797,1036419.754,0,2740798.603,0,266,0,0,0,0,0,0,1,1,1,0
131734.8735,942502.0996,0,2963819.44,0,267,0,0,0,0,0,0,0,0,0,0
131734.8735,944209.6934,0,2915876.351,0,268,0,0,0,0,0,0,0,0,0,0
131734.8735,945917.2871,0,2915876.351,0,269,0,0,0,0,0,0,0,0,0,0
131734.8735,947624.8808,0,2915876.351,0,270,0,0,0,0,0,0,0,0,0,0
131734.8735,949332.4745,0,2915876.351,0,271,0,0,0,0,0,0,0,0,0,0
131734.8735,951040.0682,0,2915876.351,0,272,0,0,0,0,0,0,0,0,0,0
131734.8735,952747.662,0,2915876.351,0,273,0,0,0,0,0,0,0,0,0,0
131734.8735,954455.2557,0,2915876.351,0,274,0,0,0,0,0,0,0,0,0,0
131734.8735,956162.8494,0,2915876.351,0,275,0,0,0,0,0,0,0,0,0,0
131734.8735,957870.4431,0,2915876.351,0,276,0,0,0,0,0,0,0,0,0,0
131734.8735,959578.0368,0,2915876.351,0,277,0,0,0,0,0,0,0,0,0,0
131734.8735,961285.6305,0,2915876.351,0,278,0,0,0,0,0,0,0,0,0,0
131734.8735,962993.2243,0,2915876.351,0,279,0,0,0,0,0,0,0,0,0,0
131734.8735,964700.818,0,2915876.351,0,280,0,0,0,0,0,0,0,0,0,0
131734.8735,966408.4117,0,2915876.351,0,281,0,0,0,0,0,0,0,0,0,0
131734.8735,968116.0054,0,2915876.351,0,282,0,0,0,0,0,0,0,0,0,0
131734.8735,969823.5991,0,2915876.351,0,283,0,0,0,0,0,0,0,0,0,0
131734.8735,971531.1929,0,2915876.351,0,284,0,0,0,0,0,0,0,0,0,0
